,ID,lat,lon,start_date,incident name,fully_contained,geographic_area,size,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,rain,weather,weather_description
0,19337,34.871,-94.666,2022-12-31 00:00:00,Pine_Mt._Fire,True,SAC,436.0,285.28,284.06,1015,58,277.27,0,0.0,0.0,Clear,clear sky
1,19339,29.362,-82.6,2023-01-11 00:00:00,NE_CR_337,True,SAC,182.0,286.23,285.53,1020,74,281.71,0,3.18,0.0,Clear,clear sky
2,19340,33.203,-99.255,2023-01-11 00:00:00,Cellers_Hill,True,SAC,695.0,298.12,296.93,1009,10,265.39,100,4.63,0.0,Clouds,overcast clouds
3,19341,27.686,-81.934,2023-01-10 00:00:00,STREAMSONG,True,SAC,475.0,292.92,292.99,1020,78,288.98,1,1.34,0.0,Clear,clear sky
4,19343,35.296,-95.924,2023-01-14 00:00:00,RATTLESNAKE_HOLLOW,True,SAC,888.0,278.55,277.15,1029,62,272.01,89,1.84,0.0,Clouds,overcast clouds
5,19348,37.683,-83.221,2023-02-09 00:00:00,Puncheon_Creek,True,SAC,200.0,286.66,285.82,1022,67,280.66,20,2.6,0.0,Clouds,few clouds
6,19349,37.102,-79.461,2023-02-09 00:00:00,Old_Fire_Trail,True,SAC,125.0,288.49,288.09,1024,77,284.48,59,1.74,0.0,Clouds,broken clouds
7,19350,33.874,-114.494,2023-02-06 00:00:00,Levee,False,SWC,509.0,297.41,296.52,1014,24,275.58,1,2.54,0.0,Clear,clear sky
8,19351,35.856,-104.708,2023-02-06 00:00:00,Mogote,False,SWC,3803.0,287.03,284.92,1010,17,263.57,0,4.07,0.0,Clear,clear sky
9,19352,37.249,-82.315,2023-02-10 00:00:00,Bartlick_Fire,True,SAC,150.0,290.92,290.42,1014,64,284.03,97,5.74,0.0,Clouds,overcast clouds
10,19353,34.989,-79.471,2023-02-09 00:00:00,Blue,True,SAC,396.0,288.6,287.98,1024,68,282.73,20,0.0,0.0,Clouds,few clouds
11,19354,37.547,-83.272,2023-02-15 00:00:00,KY-KYS-0230250119,False,SAC,416.0,288.81,287.06,1013,24,268.87,0,2.6,0.0,Other,other
12,19356,35.337,-94.925,2023-02-19 00:00:00,Red_Hill_23,False,SAC,325.0,282.08,280.32,1022,39,269.37,75,3.1,0.0,Clouds,broken clouds
13,19357,36.332,-94.879,2023-02-21 00:00:00,COLEMAN_HOLLOW,True,SAC,224.6,290.89,289.82,1008,42,277.83,35,1.99,0.0,Clouds,scattered clouds
14,19358,30.337,-85.874,2023-02-21 00:00:00,STEEL_FIELD_ROAD_(03),True,SAC,262.0,292.17,292.29,1016,83,289.22,0,3.6,0.0,Other,other
15,19365,27.758,-81.309,2023-02-27 00:00:00,MELBOURNE,False,SAC,400.0,297.69,297.77,1017,60,289.42,0,2.34,0.0,Clear,clear sky
16,19366,30.0,-83.633,2023-02-27 00:00:00,ASYMMETRICAL,True,SAC,247.0,293.85,294.35,1017,91,292.33,2,4.97,0.0,Clear,clear sky
17,19367,28.128,-81.123,2023-03-02 00:00:00,SANDY,True,SAC,350.0,299.0,299.36,1017,66,292.17,1,1.66,0.0,Clear,clear sky
18,19368,31.105,-89.654,2023-02-28 00:00:00,Lymon_Rd.,True,SAC,251.0,298.43,298.68,1009,64,291.14,98,4.08,0.0,Clouds,overcast clouds
19,19369,32.021,-89.33,2023-02-26 00:00:00,Smith_Rd.,True,SAC,130.0,296.33,296.45,1021,67,289.87,98,2.82,0.0,Clouds,overcast clouds
20,19370,31.054,-89.411,2023-03-02 00:00:00,Lamar_Yawn_School_Road,True,SAC,100.0,298.5,299.08,1012,76,293.96,58,4.6,0.0,Clouds,broken clouds
21,19371,35.273,-102.713,2023-02-26 00:00:00,Big_Fins,True,SAC,5569.0,291.28,290.09,1014,36,275.99,100,3.71,0.0,Clouds,overcast clouds
22,19372,33.566,-102.461,2023-02-26 00:00:00,Cobble_Switch,True,SAC,344.0,284.34,283.29,1018,68,278.66,72,4.24,0.0,Clouds,broken clouds
23,19373,30.643,-86.614,2023-02-25 00:00:00,FL-EAQ-650051,True,SAC,430.0,295.55,295.99,1025,82,292.33,40,3.6,0.0,Clouds,scattered clouds
24,19374,30.945,-89.267,2023-02-22 00:00:00,Indian_Creek,True,SAC,1771.0,296.26,296.69,1012,79,292.42,46,3.82,0.0,Clouds,scattered clouds
25,19379,26.57,-81.101,2023-03-03 00:00:00,DOOLEY_GRADE,True,SAC,900.0,301.42,301.81,1013,49,289.69,1,3.21,0.0,Clear,clear sky
26,19380,37.239,-82.284,2023-03-07 00:00:00,Cherokee,True,SAC,300.0,293.1,292.22,1012,41,279.47,31,4.13,0.0,Clouds,scattered clouds
27,19381,31.447,-93.056,2023-03-05 00:00:00,Caroline,True,SAC,116.0,293.82,293.09,1016,44,281.15,0,2.26,0.0,Clear,clear sky
28,19382,27.009,-98.394,2023-03-05 00:00:00,Spark,True,SAC,932.0,299.84,299.46,1012,32,281.8,13,6.11,0.0,Clouds,few clouds
29,19383,28.308,-96.945,2023-03-03 00:00:00,Patton,True,SAC,976.0,296.18,296.97,996,93,294.99,6,5.55,0.0,Clear,clear sky
30,19384,31.377,-89.905,2023-03-05 00:00:00,Marion_River_Rd,True,SAC,160.0,293.75,293.41,1017,59,285.47,0,0.0,0.0,Clear,clear sky
31,19385,30.701,-89.449,2023-03-05 00:00:00,Pearl_River,True,SAC,723.0,294.06,293.62,1015,54,284.41,0,1.53,0.0,Clear,clear sky
32,19386,30.299,-89.591,2023-03-07 00:00:00,Hancock_Point_Road,True,SAC,140.0,298.13,298.59,1017,73,292.96,0,4.12,0.0,Clear,clear sky
33,19387,30.605,-88.745,2023-03-08 00:00:00,Jackson_Campground,True,SAC,591.0,297.81,298.66,1017,89,295.87,16,2.61,0.0,Clouds,few clouds
34,19388,36.695,-96.855,2023-03-06 00:00:00,RED_RIVER_5,True,SAC,315.0,296.03,295.24,1007,33,278.92,33,5.9,0.0,Clouds,scattered clouds
35,19389,30.629,-104.006,2023-02-26 00:00:00,Solar_Park_,True,SAC,2816.0,292.29,291.49,1014,47,280.72,87,3.34,0.0,Clouds,overcast clouds
36,19390,35.973,-92.8,2023-03-02 00:00:00,Squirrel_Tree,True,SAC,700.0,290.2,290.05,1008,80,286.73,93,2.55,0.0,Clouds,overcast clouds
37,19391,35.964,-92.839,2023-03-02 00:00:00,Miss_White,True,SAC,560.0,290.42,290.29,1008,80,286.94,93,2.55,0.0,Clouds,overcast clouds
38,19392,36.063,-96.428,2023-02-28 00:00:00,STORM,True,SAC,519.0,292.39,291.13,1006,29,273.94,0,2.07,0.0,Clear,clear sky
39,19393,31.088,-88.997,2023-02-28 00:00:00,Gillie,True,SAC,802.0,298.65,298.9,1009,63,291.09,99,4.1,0.0,Clouds,overcast clouds
