,ID,lat,lon,start_date,incident name,fully_contained,geographic_area,new,size,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,rain,weather,weather_description
0,19337,34.871,-94.666,12/31/2022 12:00:00 AM,Pine_Mt._Fire,c,SAC,y,436.0,285.28,284.06,1015,58,277.27,0,10000.0,0.0,0,,Clear,clear sky
1,19339,29.362,-82.6,1/11/2023 12:00:00 AM,NE_CR_337,c,SAC,y,182.0,286.23,285.53,1020,74,281.71,0,,3.18,272,,Clear,clear sky
2,19340,33.203,-99.255,1/11/2023 12:00:00 AM,Cellers_Hill,c,SAC,y,695.0,298.12,296.93,1009,10,265.39,100,,4.63,249,,Clouds,overcast clouds
3,19341,27.686,-81.934,1/10/2023 12:00:00 AM,STREAMSONG,c,SAC,,475.0,292.92,292.99,1020,78,288.98,1,,1.34,313,,Clear,clear sky
4,19343,35.296,-95.924,1/14/2023 12:00:00 AM,RATTLESNAKE_HOLLOW,c,SAC,y,888.0,278.55,277.15,1029,62,272.01,89,,1.84,45,,Clouds,overcast clouds
5,19348,37.683,-83.221,2/9/2023 12:00:00 AM,Puncheon_Creek,c,SAC,,200.0,286.66,285.82,1022,67,280.66,20,10000.0,2.6,0,,Clouds,few clouds
6,19349,37.102,-79.461,2/9/2023 12:00:00 AM,Old_Fire_Trail,c,SAC,,125.0,288.49,288.09,1024,77,284.48,59,,1.74,101,,Clouds,broken clouds
7,19350,33.874,-114.494,2/6/2023 12:00:00 AM,Levee,,SWC,,509.0,297.41,296.52,1014,24,275.58,1,,2.54,280,,Clear,clear sky
8,19351,35.856,-104.708,2/6/2023 12:00:00 AM,Mogote,,SWC,,3803.0,287.03,284.92,1010,17,263.57,0,,4.07,228,,Clear,clear sky
9,19352,37.249,-82.315,2/10/2023 12:00:00 AM,Bartlick_Fire,c,SAC,y,150.0,290.92,290.42,1014,64,284.03,97,,5.74,216,,Clouds,overcast clouds
10,19353,34.989,-79.471,2/9/2023 12:00:00 AM,Blue,c,SAC,y,396.0,288.6,287.98,1024,68,282.73,20,10000.0,0.0,0,,Clouds,few clouds
11,19354,37.547,-83.272,2/15/2023 12:00:00 AM,KY-KYS-0230250119,,SAC,y,416.0,288.81,287.06,1013,24,268.87,0,6437.0,2.6,150,,Haze,haze
12,19356,35.337,-94.925,2/19/2023 12:00:00 AM,Red_Hill_23,,SAC,y,325.0,282.08,280.32,1022,39,269.37,75,10000.0,3.1,200,,Clouds,broken clouds
13,19357,36.332,-94.879,2/21/2023 12:00:00 AM,COLEMAN_HOLLOW,c,SAC,y,224.6,290.89,289.82,1008,42,277.83,35,,1.99,310,,Clouds,scattered clouds
